label,original_label,count,percent,denominator
Increased productivity,Increased productivity,61,77.2,79
Reduced time for repetitive tasks,Reduced time for repetitive tasks,60,75.9,79
Improved quality of artifacts,Improved quality of artifacts,59,74.7,79
Support in decision-making,Support in decision-making,46,58.2,79
Better communication with stakeholders,Better communication with stakeholders,41,51.9,79
Improved knowledge sharing and documentation,Improved knowledge sharing and documentation,39,49.4,79
Enhanced creativity in problem-solving,Enhanced creativity in problem-solving,37,46.8,79
Better stakeholder alignment through clearer outputs,Better stakeholder alignment through clearer outputs,28,35.4,79
Faster onboarding of new team members,Faster onboarding of new team members,26,32.9,79
Increased stakeholder trust in project outputs,Increased stakeholder trust in project outputs,15,19.0,79
